sim_cycles,mixed_or_same,mem_or_coh,config,inj_rate,average_packet_latency,packets_received::total,packets_injected::total
1b,mixed,mem,lpbt_s_latop,0_19,55166097.593367,5381107.0,5381384.0
1b,mixed,mem,lpbt_s_latop,0_2,59589390.596102,5398980.0,5399253.0
1b,mixed,mem,lpbt_s_latop,0_21,68429617.179362,5402161.0,5402452.0
1b,mixed,mem,lpbt_s_latop,0_22,79789083.452168,5422417.0,5422691.0
1b,mixed,mem,lpbt_s_latop,0_23,98235492.812819,5378093.0,5378388.0
1b,mixed,mem,lpbt_s_latop,0_24,111842101.4937,5360451.0,5360725.0
1b,mixed,mem,lpbt_s_latop,0_25,122729749.498972,5320158.0,5320417.0
1b,mixed,mem,lpbt_s_latop,0_26,134181441.03437,5207980.0,5208282.0
1b,mixed,mem,lpbt_s_latop,0_27,144885908.913296,5159187.0,5159520.0
1b,mixed,mem,lpbt_s_latop,0_28,152284473.978959,5095236.0,5095527.0
1b,mixed,mem,lpbt_s_latop,0_29,160927306.592207,5052270.0,5052567.0
1b,mixed,mem,ns_s_memopt,0_01
1b,mixed,mem,ns_s_memopt,0_02
1b,mixed,mem,ns_s_memopt,0_03
1b,mixed,mem,ns_s_memopt,0_04
1b,mixed,mem,ns_s_memopt,0_05
1b,mixed,mem,ns_s_memopt,0_06
1b,mixed,mem,ns_s_memopt,0_07
1b,mixed,mem,ns_s_memopt,0_08
1b,mixed,mem,ns_s_memopt,0_09
1b,mixed,mem,ns_s_memopt,0_1
1b,mixed,mem,ns_s_memopt,0_11
1b,mixed,mem,ns_s_memopt,0_12
1b,mixed,mem,ns_s_memopt,0_13
1b,mixed,mem,ns_s_memopt,0_14
1b,mixed,mem,ns_s_memopt,0_15
1b,mixed,mem,ns_s_memopt,0_16
1b,mixed,mem,ns_s_memopt,0_17
1b,mixed,mem,ns_s_memopt,0_18
1b,mixed,mem,ns_s_memopt,0_19
1b,mixed,mem,ns_s_bwop,0_01,7871.307841,359871.0,359872.0
1b,mixed,mem,ns_s_bwop,0_02,7990.954478,719813.0,719818.0
