sim_cycles,mixed_or_same,mem_or_coh,config,alg,inj_rate,average_packet_latency,average_flit_latency,packets_received::total,packets_injected::total
2b,mixed,coh,lpbt_s_latop,mclb_hops_4_6,0_08,9126.112634,8934.397467,6033791.0,6033822.0
2b,mixed,coh,lpbt_s_latop,mclb_hops_4_6,0_09,9313.280481,9132.553622,6788911.0,6788934.0
2b,mixed,coh,lpbt_s_latop,mclb_hops_4_6,0_1,9519.625415,9353.125226,7542216.0,7542248.0
2b,mixed,coh,lpbt_s_latop,mclb_hops_4_6,0_11,9743.825221,9595.581435,8296272.0,8296305.0
2b,mixed,coh,lpbt_s_latop,mclb_hops_4_6,0_12,9998.562757,9877.695806,9051426.0,9051459.0
2b,mixed,coh,lpbt_s_latop,mclb_hops_4_6,0_13,10283.275641,10197.057654,9806371.0,9806428.0
2b,mixed,coh,lpbt_s_latop,mclb_hops_4_6,0_14,10612.070418,10576.537114,10561965.0,10562017.0
2b,mixed,coh,lpbt_s_latop,mclb_hops_4_6,0_15,11004.602421,11039.025845,11318027.0,11318081.0
2b,mixed,coh,lpbt_s_latop,mclb_hops_4_6,0_16,11453.137012,11575.947561,12072610.0,12072676.0
2b,mixed,coh,lpbt_s_latop,mclb_hops_4_6,0_17,12032.996643,12294.518182,12827620.0,12827693.0
2b,mixed,coh,lpbt_s_latop,mclb_hops_4_6,0_18,12764.957393,13223.166773,13581659.0,13581732.0
2b,mixed,coh,lpbt_s_latop,mclb_hops_4_6,0_19,13778.481063,14549.317706,14337193.0,14337283.0
2b,mixed,coh,lpbt_s_latop,mclb_hops_4_6,0_2,15379.388383,16747.758496,15090299.0,15090411.0
2b,mixed,coh,lpbt_s_latop,mclb_hops_4_6,0_21,18459.904673,21222.702612,15845383.0,15845526.0
2b,mixed,coh,lpbt_s_latop,mclb_hops_4_6,0_22,35593.839524,48803.916883,16600511.0,16600692.0
2b,mixed,coh,lpbt_s_latop,mclb_hops_4_6,0_23,13688066.370437,23020772.872601,17113572.0,17113795.0
2b,mixed,coh,lpbt_s_latop,mclb_hops_4_6,0_24,34913404.589475,59691674.608115,17445443.0,17445675.0
2b,mixed,coh,lpbt_s_latop,mclb_hops_4_6,0_25,54033667.832881,93964900.470774,17752684.0,17752914.0
2b,mixed,coh,lpbt_s_latop,mclb_hops_4_6,0_26,70903735.779356,125325093.257788,18069638.0,18069874.0
2b,mixed,coh,lpbt_s_latop,mclb_hops_4_6,0_27,84906835.572385,152362654.785947,18403159.0,18403396.0
2b,mixed,coh,lpbt_s_latop,mclb_hops_4_6,0_28,98360470.517323,179301097.368922,18715947.0,18716216.0
2b,mixed,coh,lpbt_s_latop,mclb_hops_4_6,0_29,110518467.749948,204411917.744486,19047319.0,19047591.0
2b,mixed,coh,lpbt_s_latop,mclb_hops_4_6,0_3,123215235.301984,227162694.984167,19348497.0,19348778.0
2b,mixed,coh,lpbt_s_latop,mclb_hops_4_6,0_31,142426606.174702,250780151.505367,19480496.0,19480829.0
2b,mixed,coh,lpbt_s_latop,mclb_hops_4_6,0_32,172124326.333264,276010816.438994,19447421.0,19447762.0
2b,mixed,coh,lpbt_s_latop,mclb_hops_4_6,0_33,196517054.692643,299203499.368536,19461594.0,19461949.0
2b,mixed,coh,lpbt_s_latop,mclb_hops_4_6,0_34,219567309.892089,321525881.186833,19467028.0,19467367.0
2b,mixed,coh,lpbt_s_latop,mclb_hops_4_6,0_35,243210162.931642,341759088.282651,19476328.0,19476685.0
2b,mixed,coh,lpbt_s_latop,mclb_hops_4_6,0_36,266061231.815678,362058199.370737,19444111.0,19444485.0
2b,mixed,coh,lpbt_s_latop,mclb_hops_4_6,0_37,284814757.48572,379792553.432353,19461307.0,19461645.0
2b,mixed,coh,lpbt_s_latop,mclb_hops_4_6,0_38,303801905.882483,396706028.664682,19460416.0,19460729.0
2b,mixed,coh,lpbt_s_latop,mclb_hops_4_6,0_39,321785676.147764,413668020.328037,19470964.0,19471337.0
2b,mixed,coh,lpbt_s_latop,mclb_hops_4_6,0_4,339916289.771221,429395789.583075,19459774.0,19460134.0
2b,mixed,coh,ns_s_latop,mclb_hops_4_6,0_01,7571.119664,7381.098327,755112.0,755113.0
2b,mixed,coh,ns_s_latop,mclb_hops_4_6,0_02,7663.48533,7467.327758,1509783.0,1509788.0
2b,mixed,coh,ns_s_latop,mclb_hops_4_6,0_03,7760.866042,7560.323207,2262963.0,2262975.0
2b,mixed,coh,ns_s_latop,mclb_hops_4_6,0_04,7859.206018,7653.862527,3015896.0,3015904.0
2b,mixed,coh,ns_s_latop,mclb_hops_4_6,0_05,7962.761586,7752.890919,3769078.0,3769090.0
2b,mixed,coh,ns_s_latop,mclb_hops_4_6,0_06,8066.605932,7852.75097,4522969.0,4522993.0
2b,mixed,coh,ns_s_latop,mclb_hops_4_6,0_07,8177.033918,7961.274179,5278125.0,5278140.0
2b,mixed,coh,ns_s_latop,mclb_hops_4_6,0_08,8287.850506,8069.999637,6033794.0,6033822.0
2b,mixed,coh,ns_s_latop,mclb_hops_4_6,0_09,8401.974861,8185.243531,6788912.0,6788934.0
2b,mixed,coh,ns_s_latop,mclb_hops_4_6,0_1,8527.110143,8311.924849,7542217.0,7542249.0
2b,mixed,coh,ns_s_latop,mclb_hops_4_6,0_11,8654.661107,8442.158338,8296275.0,8296305.0
2b,mixed,coh,ns_s_latop,mclb_hops_4_6,0_12,8790.676625,8583.932295,9051429.0,9051459.0
2b,mixed,coh,ns_s_latop,mclb_hops_4_6,0_13,8936.166742,8738.090982,9806382.0,9806427.0
2b,mixed,coh,ns_s_latop,mclb_hops_4_6,0_14,9091.923643,8906.556771,10561976.0,10562017.0
2b,mixed,coh,ns_s_latop,mclb_hops_4_6,0_15,9259.717245,9089.830537,11318035.0,11318081.0
2b,mixed,coh,ns_s_latop,mclb_hops_4_6,0_16,9437.833465,9289.274399,12072625.0,12072676.0
2b,mixed,coh,ns_s_latop,mclb_hops_4_6,0_17,9635.084939,9515.749506,12827629.0,12827692.0
2b,mixed,coh,ns_s_latop,mclb_hops_4_6,0_18,9845.12377,9760.662378,13581676.0,13581730.0
2b,mixed,coh,ns_s_latop,mclb_hops_4_6,0_19,10082.030871,10044.356798,14337226.0,14337282.0
2b,mixed,coh,ns_s_latop,mclb_hops_4_6,0_2,10353.856382,10377.3951,15090330.0,15090414.0
2b,mixed,coh,ns_s_latop,mclb_hops_4_6,0_21,10658.865988,10762.272471,15845457.0,15845528.0
2b,mixed,coh,ns_s_latop,mclb_hops_4_6,0_22,11004.364673,11209.319216,16600723.0,16600789.0
2b,mixed,coh,ns_s_latop,mclb_hops_4_6,0_23,11422.407625,11766.48233,17354139.0,17354230.0
2b,mixed,coh,ns_s_latop,mclb_hops_4_6,0_24,11925.392184,12458.834391,18107811.0,18107911.0
2b,mixed,coh,ns_s_latop,mclb_hops_4_6,0_25,12563.12466,13365.387089,18861917.0,18862008.0
2b,mixed,coh,ns_s_latop,mclb_hops_4_6,0_26,13406.355611,14605.799472,19615823.0,19615934.0
2b,mixed,coh,ns_s_latop,mclb_hops_4_6,0_27,14628.992236,16462.308795,20368515.0,20368607.0
2b,mixed,coh,ns_s_latop,mclb_hops_4_6,0_28,16618.610351,19582.343467,21124009.0,21124128.0
2b,mixed,coh,ns_s_latop,mclb_hops_4_6,0_29,20738.715738,26239.6147,21877335.0,21877450.0
2b,mixed,coh,ns_s_latop,mclb_hops_4_6,0_3,39547.5049,57356.992692,22632929.0,22633060.0
2b,mixed,coh,ns_s_latop,mclb_hops_4_6,0_31,4796608.268293,8010962.847579,23281273.0,23281418.0
2b,mixed,coh,ns_s_latop,mclb_hops_4_6,0_32,20587542.848547,34780002.651232,23656069.0,23656202.0
2b,mixed,coh,ns_s_latop,mclb_hops_4_6,0_33,37199878.881897,63620135.712988,23978851.0,23978985.0
2b,mixed,coh,ns_s_latop,mclb_hops_4_6,0_34,52175872.019248,90305647.682363,24300608.0,24300765.0
2b,mixed,coh,ns_s_latop,mclb_hops_4_6,0_35,65760335.034209,115163631.009613,24623450.0,24623592.0
2b,mixed,coh,ns_s_latop,mclb_hops_4_6,0_36,78040184.070487,138266559.107222,24942990.0,24943137.0
2b,mixed,coh,ns_s_latop,mclb_hops_4_6,0_37,89172413.51404,159802124.778319,25265313.0,25265451.0
2b,mixed,coh,ns_s_latop,mclb_hops_4_6,0_38,99192453.668321,179768493.497866,25589301.0,25589449.0
2b,mixed,coh,ns_s_latop,mclb_hops_4_6,0_39,108405935.859517,198651914.472586,25909937.0,25910092.0
2b,mixed,coh,ns_s_latop,mclb_hops_4_6,0_4,116600953.967615,216024996.827636,26233581.0,26233738.0
2b,mixed,coh,ns_l_latop,mclb_hops_4_6,0_01,8073.285494,7915.493789,755112.0,755113.0
2b,mixed,coh,ns_l_latop,mclb_hops_4_6,0_02,8136.462464,7977.02606,1509782.0,1509788.0
2b,mixed,coh,ns_l_latop,mclb_hops_4_6,0_03,8206.417958,8043.243255,2262962.0,2262975.0
2b,mixed,coh,ns_l_latop,mclb_hops_4_6,0_04,8279.059467,8110.754849,3015895.0,3015904.0
2b,mixed,coh,ns_l_latop,mclb_hops_4_6,0_05,8354.872294,8181.071855,3769076.0,3769090.0
