sim_cycles,mixed_or_same,mem_or_coh,config,alg,inj_rate,average_packet_latency,average_flit_latency,packets_received::total,packets_injected::total
2b,mixed,mem,ns_s_bwop,mclb_hops_4_6,0_15,5378.530219,5519.044685,22635640.0,22635702.0
2b,mixed,mem,ns_s_bwop,mclb_hops_4_6,0_16,5848.992704,6144.179637,24146896.0,24146968.0
2b,mixed,mem,ns_s_bwop,mclb_hops_4_6,0_17,6563.567769,7154.193163,25656862.0,25656923.0
2b,mixed,mem,ns_s_bwop,mclb_hops_4_6,0_18,8269.416325,9779.753694,27165141.0,27165229.0
2b,mixed,mem,ns_s_bwop,mclb_hops_4_6,0_19,2500814.609565,4171468.596378,28601659.0,28601776.0
2b,mixed,mem,ns_s_bwop,mclb_hops_4_6,0_2,12486130.264459,21016051.948665,29741647.0,29741805.0
2b,mixed,mem,ns_s_bwop,mclb_hops_4_6,0_21,26131783.470773,44529502.043519,30680955.0,30681132.0
2b,mixed,mem,ns_s_bwop,mclb_hops_4_6,0_22,40833808.375205,70601285.37207,31498994.0,31499159.0
2b,mixed,mem,ns_s_bwop,mclb_hops_4_6,0_23,54510113.228359,95641297.170251,32287634.0,32287810.0
2b,mixed,mem,ns_s_bwop,mclb_hops_4_6,0_24,66856230.332728,119022371.515987,33058926.0,33059130.0
2b,mixed,mem,ns_s_bwop,mclb_hops_4_6,0_25,78732887.081582,142267016.301146,33793891.0,33794076.0
2b,mixed,mem,ns_s_bwop,mclb_hops_4_6,0_26,88602336.002203,162450025.948965,34527863.0,34528048.0
2b,mixed,mem,ns_s_bwop,mclb_hops_4_6,0_27,97893083.412688,182152588.264462,35234670.0,35234874.0
2b,mixed,mem,ns_s_bwop,mclb_hops_4_6,0_28,106137598.391565,200445574.90544,35924113.0,35924294.0
2b,mixed,mem,ns_s_bwop,mclb_hops_4_6,0_29,114981205.347649,220513636.845574,36576525.0,36576699.0
2b,mixed,mem,ns_s_bwop,mclb_hops_4_6,0_3,123139079.871618,239868747.734711,37211701.0,37211903.0
2b,mixed,mem,ns_s_bwop,mclb_hops_4_6,0_31,130829304.694592,258886072.152561,37829821.0,37830019.0
2b,mixed,mem,ns_s_bwop,mclb_hops_4_6,0_32,137569610.713161,276452102.045939,38449459.0,38449637.0
2b,mixed,mem,ns_s_bwop,mclb_hops_4_6,0_33,143404014.729551,292677495.271437,39057398.0,39057614.0
2b,mixed,mem,ns_s_bwop,mclb_hops_4_6,0_34,148634351.381638,307940854.390316,39674595.0,39674795.0
2b,mixed,mem,ns_s_bwop,mclb_hops_4_6,0_35,152711819.788788,321151139.461226,40283716.0,40283915.0
2b,mixed,mem,ns_s_bwop,mclb_hops_4_6,0_36,156276962.839423,333509513.12642,40893616.0,40893825.0
2b,mixed,mem,ns_s_bwop,mclb_hops_4_6,0_37,158923712.003233,344098709.077227,41504892.0,41505126.0
2b,mixed,mem,ns_s_bwop,mclb_hops_4_6,0_38,161219533.397566,354010143.503008,42121383.0,42121578.0
2b,mixed,mem,ns_s_bwop,mclb_hops_4_6,0_39,162987385.108997,362997691.621707,42724779.0,42724988.0
2b,mixed,mem,ns_s_latop,mclb_hops_4_6,0_01,3387.074731,3291.061123,1509220.0,1509220.0
2b,mixed,mem,ns_s_latop,mclb_hops_4_6,0_02,3447.874197,3349.066878,3018924.0,3018926.0
2b,mixed,mem,ns_s_latop,mclb_hops_4_6,0_03,3513.640791,3412.207155,4525638.0,4525646.0
2b,mixed,mem,ns_s_latop,mclb_hops_4_6,0_04,3583.971294,3479.284718,6032721.0,6032735.0
2b,mixed,mem,ns_s_latop,mclb_hops_4_6,0_05,3661.501066,3554.313812,7539501.0,7539512.0
2b,mixed,mem,ns_s_latop,mclb_hops_4_6,0_06,3747.059834,3637.8497,9044973.0,9044987.0
2b,mixed,mem,ns_s_latop,mclb_hops_4_6,0_07,3841.704105,3731.768574,10554106.0,10554127.0
