sim_cycles,mixed_or_same,mem_or_coh,config,alg,inj_rate,average_packet_latency,average_flit_latency,packets_received::total,packets_injected::total
2b,mixed,coh,mclb_hops_4_6,ns_m_scop,uniform_random,20cpus,160dirs,1.8GHz,0_01,8738.300554,8601.097662,755112.0,755113.0
2b,mixed,coh,mclb_hops_4_6,ns_m_scop,uniform_random,20cpus,160dirs,1.8GHz,0_02,8800.332464,8657.181647,1509782.0,1509788.0
2b,mixed,coh,mclb_hops_4_6,ns_m_scop,uniform_random,20cpus,160dirs,1.8GHz,0_03,8866.340872,8714.379421,2262964.0,2262975.0
2b,mixed,coh,mclb_hops_4_6,ns_m_scop,uniform_random,20cpus,160dirs,1.8GHz,0_04,8930.923042,8769.64065,3015894.0,3015904.0
2b,mixed,coh,mclb_hops_4_6,ns_m_scop,uniform_random,20cpus,160dirs,1.8GHz,0_05,8999.82802,8832.3579,3769075.0,3769090.0
2b,mixed,coh,mclb_hops_4_6,ns_m_scop,uniform_random,20cpus,160dirs,1.8GHz,0_06,9072.328596,8897.761212,4522965.0,4522993.0
2b,mixed,coh,mclb_hops_4_6,ns_m_scop,uniform_random,20cpus,160dirs,1.8GHz,0_07,9145.943986,8964.507324,5278123.0,5278140.0
2b,mixed,coh,mclb_hops_4_6,ns_m_scop,uniform_random,20cpus,160dirs,1.8GHz,0_08,9226.232185,9039.325905,6033790.0,6033822.0
2b,mixed,coh,mclb_hops_4_6,ns_m_scop,uniform_random,20cpus,160dirs,1.8GHz,0_09,9306.756975,9115.657283,6788908.0,6788934.0
2b,mixed,coh,mclb_hops_4_6,ns_m_scop,uniform_random,20cpus,160dirs,1.8GHz,0_1,9391.184034,9198.025759,7542217.0,7542249.0
2b,mixed,coh,mclb_hops_4_6,ns_m_scop,uniform_random,20cpus,160dirs,1.8GHz,0_11,9484.333613,9289.79161,8296268.0,8296305.0
2b,mixed,coh,mclb_hops_4_6,ns_m_scop,uniform_random,20cpus,160dirs,1.8GHz,0_12,9584.226435,9390.570383,9051422.0,9051459.0
2b,mixed,coh,mclb_hops_4_6,ns_m_scop,uniform_random,20cpus,160dirs,1.8GHz,0_13,9689.831824,9499.337537,9806371.0,9806426.0
2b,mixed,coh,mclb_hops_4_6,ns_m_scop,uniform_random,20cpus,160dirs,1.8GHz,0_14,9802.970548,9619.753695,10561970.0,10562017.0
2b,mixed,coh,mclb_hops_4_6,ns_m_scop,uniform_random,20cpus,160dirs,1.8GHz,0_15,9927.614674,9753.034066,11318028.0,11318081.0
2b,mixed,coh,mclb_hops_4_6,ns_m_scop,uniform_random,20cpus,160dirs,1.8GHz,0_16,10061.941512,9902.337752,12072613.0,12072676.0
2b,mixed,coh,mclb_hops_4_6,ns_m_scop,uniform_random,20cpus,160dirs,1.8GHz,0_17,10212.526481,10073.06907,12827627.0,12827692.0
2b,mixed,coh,mclb_hops_4_6,ns_m_scop,uniform_random,20cpus,160dirs,1.8GHz,0_18,10375.371837,10261.996676,13581668.0,13581731.0
2b,mixed,coh,mclb_hops_4_6,ns_m_scop,uniform_random,20cpus,160dirs,1.8GHz,0_19,10561.463893,10483.668848,14337223.0,14337283.0
