sim_cycles,mixed_or_same,mem_or_coh,config,alg,inj_rate,average_packet_latency,average_flit_latency,packets_received::total,packets_injected::total
5b,same,mem,kite_small,mclb_hops_4_6,0_19,6283.920469,6700.096011,68286796.0,68286857.0
5b,same,mem,kite_small,mclb_hops_4_6,0_2,6970.550739,7680.88881,71879191.0,71879285.0
5b,same,mem,kite_small,mclb_hops_4_6,0_21,8071.134987,9336.171958,75469907.0,75470006.0
5b,same,mem,kite_small,mclb_hops_4_6,0_22,11073.486672,14143.607462,79065014.0,79065112.0
5b,same,mem,kite_small,mclb_hops_4_6,0_23,9467368.123927,15816359.854645,82329696.0,82329834.0
5b,same,mem,kite_small,mclb_hops_4_6,0_24,39003943.38911,65779866.964784,84744139.0,84744294.0
5b,same,mem,kite_small,mclb_hops_4_6,0_25,75432306.134242,128807318.598478,86715746.0,86715924.0
5b,same,mem,kite_small,mclb_hops_4_6,0_26,109529719.612746,189503645.551999,88551424.0,88551595.0
5b,same,mem,kite_small,mclb_hops_4_6,0_27,140987296.689571,247183055.000414,90327590.0,90327794.0
5b,same,mem,kite_small,mclb_hops_4_6,0_28,172051035.146173,305856524.28407,91990111.0,91990310.0
5b,same,mem,kite_small,mclb_hops_4_6,0_29,203743049.107205,367521155.195302,93532631.0,93532821.0
5b,same,mem,dbl_bfly_x,mclb_hops_4_6,0_01,3509.709576,3413.044596,3593284.0,3593288.0
5b,same,mem,dbl_bfly_x,mclb_hops_4_6,0_02,3574.900186,3474.650322,7186384.0,7186391.0
5b,same,mem,dbl_bfly_x,mclb_hops_4_6,0_03,3647.410213,3543.632962,10780207.0,10780210.0
5b,same,mem,dbl_bfly_x,mclb_hops_4_6,0_04,3724.876868,3617.559495,14373881.0,14373889.0
5b,same,mem,dbl_bfly_x,mclb_hops_4_6,0_05,3811.220802,3701.417117,17964705.0,17964715.0
5b,same,mem,dbl_bfly_x,mclb_hops_4_6,0_06,3905.703302,3793.990894,21557195.0,21557216.0
5b,same,mem,dbl_bfly_x,mclb_hops_4_6,0_07,4011.943968,3900.216175,25149935.0,25149959.0
5b,same,mem,dbl_bfly_x,mclb_hops_4_6,0_08,4130.813438,4021.144542,28745615.0,28745640.0
5b,same,mem,dbl_bfly_x,mclb_hops_4_6,0_09,4266.515761,4162.494446,32339828.0,32339856.0
5b,same,mem,dbl_bfly_x,mclb_hops_4_6,0_1,4421.778891,4328.418657,35929418.0,35929451.0
5b,same,mem,dbl_bfly_x,mclb_hops_4_6,0_11,4604.152264,4529.103724,39522752.0,39522783.0
5b,same,mem,dbl_bfly_x,mclb_hops_4_6,0_12,4821.444898,4776.717548,43118133.0,43118172.0
5b,same,mem,dbl_bfly_x,mclb_hops_4_6,0_13,5088.646934,5093.323279,46714625.0,46714669.0
5b,same,mem,dbl_bfly_x,mclb_hops_4_6,0_14,5429.559137,5516.18092,50310342.0,50310387.0
5b,same,mem,dbl_bfly_x,mclb_hops_4_6,0_15,5890.772905,6119.984953,53908365.0,53908435.0
5b,same,mem,dbl_bfly_x,mclb_hops_4_6,0_16,6631.35842,7164.11675,57504890.0,57504948.0
5b,same,mem,dbl_bfly_x,mclb_hops_4_6,0_17,9912.268047,12404.63965,61103011.0,61103110.0
5b,same,mem,dbl_bfly_x,mclb_hops_4_6,0_18,12970849.13334,21715631.706781,64242903.0,64243024.0
5b,same,mem,dbl_bfly_x,mclb_hops_4_6,0_19,31749077.369684,53566291.167967,67056531.0,67056645.0
5b,same,mem,dbl_bfly_x,mclb_hops_4_6,0_2,45779491.710099,77843789.225213,69795076.0,69795244.0
5b,same,mem,dbl_bfly_x,mclb_hops_4_6,0_21,73145099.097491,125826548.58168,72093969.0,72094138.0
5b,same,mem,dbl_bfly_x,mclb_hops_4_6,0_22,103041001.393942,179892839.440781,74022965.0,74023131.0
5b,same,mem,dbl_bfly_x,mclb_hops_4_6,0_23,136144813.919257,241595940.532703,75746984.0,75747160.0
5b,same,mem,dbl_bfly_x,mclb_hops_4_6,0_24,171415717.39018,309324978.452636,77378011.0,77378204.0
5b,same,mem,dbl_bfly_x,mclb_hops_4_6,0_25,203669288.949001,373897937.417528,78927917.0,78928116.0
5b,same,mem,dbl_bfly_x,mclb_hops_4_6,0_26,232326759.85605,433844849.441926,80455478.0,80455693.0
5b,same,mem,dbl_bfly_x,mclb_hops_4_6,0_27,259811182.778573,493530048.27886,81947228.0,81947429.0
5b,same,mem,dbl_bfly_x,mclb_hops_4_6,0_28,284484526.364265,549716466.229167,83409252.0,83409464.0
5b,same,mem,dbl_bfly_x,mclb_hops_4_6,0_29,306460397.991436,602350021.719543,84851354.0,84851550.0
5b,same,mem,ns_m_latop,mclb_hops_4_6,0_01,3117.01581,3021.147819,3593285.0,3593288.0
5b,same,mem,ns_m_latop,mclb_hops_4_6,0_02,3170.839988,3071.865509,7186387.0,7186391.0
5b,same,mem,ns_m_latop,mclb_hops_4_6,0_03,3229.87038,3127.530657,10780207.0,10780210.0
5b,same,mem,ns_m_latop,mclb_hops_4_6,0_04,3291.791951,3186.134208,14373882.0,14373889.0
5b,same,mem,ns_m_latop,mclb_hops_4_6,0_05,3359.874995,3251.260428,17964707.0,17964715.0
5b,same,mem,ns_m_latop,mclb_hops_4_6,0_06,3433.599646,3322.608796,21557198.0,21557216.0
5b,same,mem,ns_m_latop,mclb_hops_4_6,0_07,3514.507217,3401.707495,25149936.0,25149959.0
5b,same,mem,ns_m_latop,mclb_hops_4_6,0_08,3602.790211,3489.537602,28745616.0,28745640.0
5b,same,mem,ns_m_latop,mclb_hops_4_6,0_09,3700.994669,3589.04543,32339833.0,32339855.0
5b,same,mem,ns_m_latop,mclb_hops_4_6,0_1,3810.321265,3702.122971,35929422.0,35929451.0
5b,same,mem,ns_m_latop,mclb_hops_4_6,0_11,3934.200869,3832.849884,39522756.0,39522783.0
5b,same,mem,ns_m_latop,mclb_hops_4_6,0_12,4077.340082,3988.042202,43118144.0,43118172.0
5b,same,mem,ns_m_latop,mclb_hops_4_6,0_13,4241.172592,4170.588185,46714638.0,46714669.0
5b,same,mem,ns_m_latop,mclb_hops_4_6,0_14,4436.946457,4396.310102,50310347.0,50310389.0
5b,same,mem,ns_m_latop,mclb_hops_4_6,0_15,4671.450893,4676.475597,53908390.0,53908435.0
5b,same,mem,ns_m_latop,mclb_hops_4_6,0_16,4962.265577,5038.025641,57504904.0,57504950.0
5b,same,mem,ns_m_latop,mclb_hops_4_6,0_17,5343.137969,5535.474668,61103042.0,61103108.0
5b,same,mem,ns_m_latop,mclb_hops_4_6,0_18,5886.564285,6286.606421,64693353.0,64693425.0
5b,same,mem,ns_m_latop,mclb_hops_4_6,0_19,6847.042088,7713.620942,68286779.0,68286856.0
5b,same,mem,ns_m_latop,mclb_hops_4_6,0_2,11584.633549,15411.930934,71879152.0,71879252.0
5b,same,mem,ns_m_latop,mclb_hops_4_6,0_21,13996743.276623,23418944.636691,75008541.0,75008643.0
5b,same,mem,ns_m_latop,mclb_hops_4_6,0_22,29360393.905925,49413290.071411,77917532.0,77917630.0
5b,same,mem,ns_m_latop,mclb_hops_4_6,0_23,48002433.82651,81395842.269475,80583624.0,80583744.0
5b,same,mem,ns_m_latop,mclb_hops_4_6,0_24,75139691.265109,128808628.508024,82795330.0,82795469.0
5b,same,mem,ns_m_latop,mclb_hops_4_6,0_25,104613888.61182,181602405.960644,84761471.0,84761637.0
5b,same,mem,ns_m_latop,mclb_hops_4_6,0_26,134848054.83064,237221489.321258,86595852.0,86596027.0
5b,same,mem,ns_m_latop,mclb_hops_4_6,0_27,167877757.412331,299720328.567205,88221007.0,88221164.0
5b,same,mem,ns_m_latop,mclb_hops_4_6,0_28,200538109.316255,363619668.77561,89730842.0,89731015.0
5b,same,mem,ns_m_latop,mclb_hops_4_6,0_29,230178830.269126,423850232.093976,91218928.0,91219108.0
5b,same,mem,ns_l_scop,mclb_hops_4_6,0_01,3076.93925,2980.684964,3593285.0,3593288.0
5b,same,mem,ns_l_scop,mclb_hops_4_6,0_02,3125.327029,3025.611908,7186388.0,7186391.0
5b,same,mem,ns_l_scop,mclb_hops_4_6,0_03,3177.629948,3073.898062,10780207.0,10780210.0
5b,same,mem,ns_l_scop,mclb_hops_4_6,0_04,3232.721695,3125.075086,14373883.0,14373889.0
5b,same,mem,ns_l_scop,mclb_hops_4_6,0_05,3291.890499,3180.694713,17964707.0,17964715.0
5b,same,mem,ns_l_scop,mclb_hops_4_6,0_06,3354.92322,3240.300117,21557200.0,21557216.0
5b,same,mem,ns_l_scop,mclb_hops_4_6,0_07,3423.129943,3305.234241,25149936.0,25149959.0
5b,same,mem,ns_l_scop,mclb_hops_4_6,0_08,3496.098602,3375.98373,28745616.0,28745640.0
5b,same,mem,ns_l_scop,mclb_hops_4_6,0_09,3575.501283,3453.582968,32339836.0,32339856.0
5b,same,mem,ns_l_scop,mclb_hops_4_6,0_1,3661.889381,3539.487129,35929425.0,35929451.0
5b,same,mem,ns_l_scop,mclb_hops_4_6,0_11,3757.510432,3636.080252,39522756.0,39522783.0
5b,same,mem,ns_l_scop,mclb_hops_4_6,0_12,3863.328906,3745.092889,43118142.0,43118172.0
5b,same,mem,ns_l_scop,mclb_hops_4_6,0_13,3981.385499,3868.780297,46714640.0,46714669.0
5b,same,mem,ns_l_scop,mclb_hops_4_6,0_14,4113.766787,4010.479509,50310354.0,50310388.0
5b,same,mem,ns_l_scop,mclb_hops_4_6,0_15,4264.924282,4176.617475,53908393.0,53908435.0
5b,same,mem,ns_l_scop,mclb_hops_4_6,0_16,4436.881018,4370.517903,57504913.0,57504951.0
5b,same,mem,ns_l_scop,mclb_hops_4_6,0_17,4637.5875,4603.395199,61103059.0,61103110.0
5b,same,mem,ns_l_scop,mclb_hops_4_6,0_18,4874.108704,4886.852563,64693362.0,64693428.0
