sim_cycles,mixed_or_same,mem_or_coh,config,alg,inj_rate,average_packet_latency,average_flit_latency,packets_received::total,packets_injected::total
2b,mixed,coh,dbl_bfly_x,mclb_hops_4_6,0_12,8274.923846,8306.929956,18103795.0,18103882.0
2b,mixed,coh,dbl_bfly_x,mclb_hops_4_6,0_13,8818.704684,8975.180879,19614887.0,19614960.0
2b,mixed,coh,dbl_bfly_x,mclb_hops_4_6,0_14,9536.816129,9904.571668,21125631.0,21125709.0
2b,mixed,coh,dbl_bfly_x,mclb_hops_4_6,0_15,10554.708816,11299.815498,22635592.0,22635691.0
2b,mixed,coh,dbl_bfly_x,mclb_hops_4_6,0_16,12227.305646,13751.400868,24146806.0,24146940.0
2b,mixed,coh,dbl_bfly_x,mclb_hops_4_6,0_17,16260.813177,20102.011591,25656760.0,25656886.0
2b,mixed,coh,dbl_bfly_x,mclb_hops_4_6,0_18,2923298.814976,4874647.278079,27089379.0,27089562.0
2b,mixed,coh,dbl_bfly_x,mclb_hops_4_6,0_19,26167005.355438,44411738.719038,27919229.0,27919418.0
2b,mixed,coh,dbl_bfly_x,mclb_hops_4_6,0_2,49555237.923543,85702381.740186,28625707.0,28625863.0
2b,mixed,coh,dbl_bfly_x,mclb_hops_4_6,0_21,70212718.2684,123756766.622641,29300093.0,29300270.0
2b,mixed,coh,dbl_bfly_x,mclb_hops_4_6,0_22,87965973.113346,157999686.162908,29962957.0,29963160.0
2b,mixed,coh,dbl_bfly_x,mclb_hops_4_6,0_23,104598276.283925,191526593.479601,30593895.0,30594112.0
2b,mixed,coh,dbl_bfly_x,mclb_hops_4_6,0_24,118599054.710247,221252272.250763,31229607.0,31229829.0
2b,mixed,coh,dbl_bfly_x,mclb_hops_4_6,0_25,130454594.957449,247887455.206402,31857140.0,31857352.0
2b,mixed,coh,dbl_bfly_x,mclb_hops_4_6,0_26
2b,mixed,coh,dbl_bfly_x,mclb_hops_4_6,0_27
2b,mixed,coh,butter_donut_x,mclb_hops_4_6,0_1,6872.766419,6739.831621,15081418.0,15081484.0
2b,mixed,coh,butter_donut_x,mclb_hops_4_6,0_11,7124.465927,7009.991073,16591071.0,16591119.0
2b,mixed,coh,butter_donut_x,mclb_hops_4_6,0_12,7420.047349,7337.328687,18103801.0,18103882.0
2b,mixed,coh,butter_donut_x,mclb_hops_4_6,0_13,7774.96853,7742.321078,19614894.0,19614964.0
2b,mixed,coh,butter_donut_x,mclb_hops_4_6,0_14,8211.972545,8262.348769,21125634.0,21125707.0
2b,mixed,coh,butter_donut_x,mclb_hops_4_6,0_15,8770.501794,8958.296484,22635602.0,22635697.0
2b,mixed,coh,butter_donut_x,mclb_hops_4_6,0_16,9515.412888,9938.399876,24146859.0,24146962.0
2b,mixed,coh,butter_donut_x,mclb_hops_4_6,0_17,10632.099171,11503.592956,25656822.0,25656917.0
2b,mixed,coh,butter_donut_x,mclb_hops_4_6,0_18,12562.635417,14394.025561,27165067.0,27165204.0
2b,mixed,coh,butter_donut_x,mclb_hops_4_6,0_19,18306.051032,23596.68779,28674845.0,28674993.0
2b,mixed,coh,butter_donut_x,mclb_hops_4_6,0_2,4877059.017796,8147359.274366,30043028.0,30043184.0
2b,mixed,coh,butter_donut_x,mclb_hops_4_6,0_21,28755137.709747,48873449.385832,30791757.0,30791922.0
2b,mixed,coh,butter_donut_x,mclb_hops_4_6,0_22,53145514.328159,92073289.78644,31411498.0,31411673.0
2b,mixed,coh,butter_donut_x,mclb_hops_4_6,0_23,74109401.976115,130828163.520769,32028057.0,32028261.0
2b,mixed,coh,butter_donut_x,mclb_hops_4_6,0_24,91951158.735032,165313752.489398,32649682.0,32649870.0
2b,mixed,coh,butter_donut_x,mclb_hops_4_6,0_25,107266322.221486,196333142.339718,33267094.0,33267259.0
2b,mixed,coh,butter_donut_x,mclb_hops_4_6,0_26
2b,mixed,coh,kite_small,mclb_hops_4_6,0_1,3802.259283,3680.898921,15081457.0,15081488.0
2b,mixed,coh,kite_small,mclb_hops_4_6,0_11,3888.911823,3767.909993,16591092.0,16591119.0
2b,mixed,coh,kite_small,mclb_hops_4_6,0_12,3984.199838,3864.958959,18103844.0,18103882.0
2b,mixed,coh,kite_small,mclb_hops_4_6,0_13,4088.797162,3973.344684,19614926.0,19614965.0
