sim_cycles,mixed_or_same,mem_or_coh,config,alg,inj_rate,average_packet_latency,average_flit_latency,packets_received::total,packets_injected::total
2b,mixed,mem,kite_small_noci,augmclb_hops_4_6_64cpus_4xdirs_4.0GHz,0_02,5576.075004,5552.049821,10983049.0,10983075.0
2b,mixed,mem,kite_small_noci,augmclb_hops_4_6_64cpus_4xdirs_4.0GHz,0_01,5284.135454,5219.547724,5492874.0,5492892.0
2b,mixed,mem,kite_small_noci,augmclb_hops_4_6_64cpus_4xdirs_4.0GHz,0_03,6014.2426,6091.622388,16476521.0,16476565.0
2b,mixed,mem,kite_small_noci,augmclb_hops_4_6_64cpus_4xdirs_4.0GHz,0_04,6842.620147,7220.991919,21967688.0,21967760.0
2b,mixed,mem,kite_small_noci,augmclb_hops_4_6_64cpus_4xdirs_4.0GHz,0_05,9137.21081,10660.754776,27456574.0,27456697.0
2b,mixed,mem,kite_small_noci,augmclb_hops_4_6_64cpus_4xdirs_4.0GHz,0_06,15506.491104,20575.668603,32944782.0,32945068.0
2b,mixed,mem,kite_small_noci,augmclb_hops_4_6_64cpus_4xdirs_4.0GHz,0_07,45072791.468358,78658654.949243,35995837.0,35996315.0
2b,mixed,mem,kite_small_noci,augmclb_hops_4_6_64cpus_4xdirs_4.0GHz,0_08,80755415.394415,150099409.573807,38030028.0,38030574.0
2b,mixed,mem,kite_small_noci,augmclb_hops_4_6_64cpus_4xdirs_4.0GHz,0_09
2b,mixed,mem,kite_small_noci,augmclb_hops_4_6_64cpus_4xdirs_4.0GHz,0_1
2b,mixed,mem,kite_small_noci,augmclb_hops_4_6_64cpus_4xdirs_4.0GHz,0_11,142222951.580242,309039911.664876,44757943.0,44758600.0
2b,mixed,mem,lpbt_m_latop_noci,augmclb_hops_4_6_64cpus_4xdirs_4.0GHz,0_01,6009.467723,5949.716684,5492873.0,5492892.0
2b,mixed,mem,lpbt_m_latop_noci,augmclb_hops_4_6_64cpus_4xdirs_4.0GHz,0_02,6725.224102,6838.72967,10983043.0,10983075.0
2b,mixed,mem,lpbt_m_latop_noci,augmclb_hops_4_6_64cpus_4xdirs_4.0GHz,0_03,9969.422828,11723.425867,16476499.0,16476565.0
2b,mixed,mem,lpbt_m_latop_noci,augmclb_hops_4_6_64cpus_4xdirs_4.0GHz,0_04,11598305.292401,19675631.617221,21394242.0,21394440.0
2b,mixed,mem,lpbt_m_latop_noci,augmclb_hops_4_6_64cpus_4xdirs_4.0GHz,0_05,38188214.9985,69532838.58853,24356663.0,24357046.0
2b,mixed,mem,lpbt_m_latop_noci,augmclb_hops_4_6_64cpus_4xdirs_4.0GHz,0_06,55686609.708693,113296995.458144,25909451.0,25909937.0
2b,mixed,mem,lpbt_m_latop_noci,augmclb_hops_4_6_64cpus_4xdirs_4.0GHz,0_07,41244408.036939,96832194.109208,26773334.0,26773810.0
2b,mixed,mem,lpbt_m_latop_noci,augmclb_hops_4_6_64cpus_4xdirs_4.0GHz,0_08,55136484.932687,139782406.032276,29013120.0,29013677.0
2b,mixed,mem,lpbt_m_latop_noci,augmclb_hops_4_6_64cpus_4xdirs_4.0GHz,0_09,65598485.57654,175924061.571195,31519552.0,31520114.0
2b,mixed,mem,lpbt_m_latop_noci,augmclb_hops_4_6_64cpus_4xdirs_4.0GHz,0_1,70260646.30313,197941331.318169,34045642.0,34046269.0
2b,mixed,mem,lpbt_m_latop_noci,augmclb_hops_4_6_64cpus_4xdirs_4.0GHz,0_11,70777761.718169,208867773.835054,36541694.0,36542333.0
2b,mixed,mem,lpbt_m_latop_noci,augmclb_hops_4_6_64cpus_4xdirs_4.0GHz,0_12
