sim_cycles,mixed_or_same,mem_or_coh,config,alg,inj_rate,average_packet_latency,average_flit_latency,packets_received::total,packets_injected::total
2b,same,mem,ns_s_scop,mclb_hops_4_6,0_23,3908689.297891,6527559.049325,34576542.0,34576695.0
2b,same,mem,ns_s_scop,mclb_hops_4_6,0_24,16322538.382402,27525094.05414,35594031.0,35594203.0
2b,same,mem,ns_s_scop,mclb_hops_4_6,0_25,31639843.53549,54025223.85995,36419853.0,36420026.0
2b,same,mem,ns_s_scop,mclb_hops_4_6,0_26,45875602.681888,79369183.846425,37192651.0,37192813.0
2b,same,mem,ns_s_scop,mclb_hops_4_6,0_27,59194613.687795,103779582.666768,37937078.0,37937255.0
2b,same,mem,ns_s_scop,mclb_hops_4_6,0_28,72251119.50906,128455094.432548,38629027.0,38629196.0
2b,same,mem,ns_s_scop,mclb_hops_4_6,0_29,85434744.919213,154107063.578242,39281445.0,39281631.0
2b,same,mem,ns_s_scop,mclb_hops_4_6,0_3,72738614.703637,133177884.950423,29393372.0,29393547.0
2b,same,mem,ns_s_scop,mclb_hops_4_6,0_31,15963692.661141,29656774.239821,5855408.0,5855616.0
2b,same,mem,ns_s_scop,mclb_hops_4_6,0_32
2b,same,mem,ns_s_scop,mclb_hops_4_6,0_33,128912664.135699,246554974.025203,41748872.0,41749072.0
2b,same,mem,ns_s_scop,mclb_hops_4_6,0_34
2b,same,mem,ns_s_scop,mclb_hops_4_6,0_35
2b,same,mem,ns_m_scop,mclb_hops_4_6,0_01,3152.505669,3055.970261,1509220.0,1509220.0
2b,same,mem,ns_m_scop,mclb_hops_4_6,0_02,3206.937757,3107.050212,3018925.0,3018926.0
2b,same,mem,ns_m_scop,mclb_hops_4_6,0_03,3266.013154,3162.741501,4525638.0,4525646.0
2b,same,mem,ns_m_scop,mclb_hops_4_6,0_04,3329.013321,3222.319758,6032722.0,6032735.0
2b,same,mem,ns_m_scop,mclb_hops_4_6,0_05,3397.623167,3287.453055,7539503.0,7539512.0
2b,same,mem,ns_m_scop,mclb_hops_4_6,0_06,3472.49097,3359.446559,9044973.0,9044987.0
2b,same,mem,ns_m_scop,mclb_hops_4_6,0_07,3554.457772,3439.398684,10554108.0,10554127.0
2b,same,mem,ns_m_scop,mclb_hops_4_6,0_08,3643.571254,3527.392067,12064021.0,12064044.0
