sim_cycles,mixed_or_same,mem_or_coh,config,alg,inj_rate,average_packet_latency,average_flit_latency,packets_received::total,packets_injected::total
2b,mixed,coh,mclb_hops_4_6,ns_m_scop,uniform_random,20cpus,20dirs,0_04,9098.718346,8943.273314,3015894.0,3015904.0
2b,mixed,coh,mclb_hops_4_6,ns_m_scop,uniform_random,20cpus,20dirs,0_05,9211.555722,9051.409126,3769076.0,3769090.0
2b,mixed,coh,mclb_hops_4_6,ns_m_scop,uniform_random,20cpus,20dirs,0_06,9331.408188,9165.592049,4522966.0,4522993.0
2b,mixed,coh,mclb_hops_4_6,ns_m_scop,uniform_random,20cpus,20dirs,0_07,9455.743908,9285.317217,5278120.0,5278140.0
2b,mixed,coh,mclb_hops_4_6,ns_m_scop,uniform_random,20cpus,20dirs,0_08,9585.867116,9414.704543,6033787.0,6033822.0
2b,mixed,coh,mclb_hops_4_6,ns_m_scop,uniform_random,20cpus,20dirs,0_09,9722.877834,9553.150188,6788905.0,6788934.0
2b,mixed,coh,mclb_hops_4_6,ns_m_scop,uniform_random,20cpus,20dirs,0_1,9870.799171,9702.778763,7542216.0,7542249.0
2b,mixed,coh,mclb_hops_4_6,ns_m_scop,uniform_random,20cpus,20dirs,0_11,10027.600176,9866.451449,8296268.0,8296305.0
2b,mixed,coh,mclb_hops_4_6,ns_m_scop,uniform_random,20cpus,20dirs,0_12,10197.435579,10045.262748,9051424.0,9051459.0
2b,mixed,coh,mclb_hops_4_6,ns_m_scop,uniform_random,20cpus,20dirs,0_13,10381.243451,10244.253756,9806372.0,9806428.0
2b,mixed,coh,mclb_hops_4_6,ns_m_scop,uniform_random,20cpus,20dirs,0_14,10580.26939,10461.227437,10561970.0,10562017.0
2b,mixed,coh,mclb_hops_4_6,ns_m_scop,uniform_random,20cpus,20dirs,0_15,10798.270944,10702.716556,11318023.0,11318081.0
2b,mixed,coh,mclb_hops_4_6,ns_m_scop,uniform_random,20cpus,20dirs,0_16,11038.089241,10976.50582,12072616.0,12072676.0
2b,mixed,coh,mclb_hops_4_6,ns_m_scop,uniform_random,20cpus,20dirs,0_17,11308.696147,11292.357917,12827618.0,12827693.0
