bench,config,description,simTicks,numCycles,average_packet_latency,cumulativeCycles,maxCycles
vips,kite_medium_noci_augmclb_hops,,30755912000.0,101250.0,31242.99654,61934686.0,50255769.0
vips,lpbt_s_latop_noci_augmclb_hops,,30683927500.0,105037.0,27778.717751,61498001.0,50192915.0
vips,lpbt_m_latop_noci_augmclb_hops,,30717991500.0,101529.0,31712.567175,61989527.0,50322796.0
vips,ns_m_scop_noci_augmclb_hops,,30701595500.0,112041.0,29061.400329,61835538.0,50282841.0
vips,ns_m_bwop_noci_augmclb_hops,,30713629000.0,102611.0,30378.152512,61906638.0,50290179.0
vips,ns_l_latop_noci_augmclb_hops,,30760526500.0,109896.0,30392.147779,62107978.0,50330062.0
vips,kite_large_noci_augmclb_hops,,30719206000.0,104605.0,31755.806699,62179750.0,50306369.0
vips,mesh_noci_naive_hops,,30862447500.0,119081.0,42208.261112,63066507.0,50462621.0
vips,ft_x_noci_augmclb_hops,,30763778000.0,101802.0,30644.060023,62026432.0,50319907.0
vips,butter_donut_x_noci_augmclb_hops,,30808953500.0,103674.0,32491.129217,62539775.0,50452911.0
vips,dbl_bfly_x_noci_augmclb_hops,,30907302500.0,108889.0,34300.884129,62915835.0,50718240.0
vips,ns_s_latop_noci_augmclb_hops,,30611234000.0,100826.0,25484.458204,61081415.0,50059604.0
vips,ns_s_scop_noci_augmclb_hops,,30627640000.0,107669.0,24778.794894,61170824.0,50124543.0
vips,ns_l_scop_noci_augmclb_hops,,30738395000.0,121825.0,30096.021089,62105856.0,50361608.0
vips,ns_m_latop_noci_augmclb_hops,,30776615000.0,104898.0,30398.750982,62102937.0,50335171.0
vips,ns_s_bwop_noci_augmclb_hops,,30605948000.0,101463.0,24868.369718,61055635.0,50086131.0
swaptions,ns_l_latop_noci_augmclb_hops,
swaptions,ns_m_bwop_noci_augmclb_hops,
swaptions,ns_m_scop_noci_augmclb_hops,
swaptions,ns_s_latop_noci_augmclb_hops,
swaptions,mesh_noci_naive_hops,
swaptions,butter_donut_x_noci_augmclb_hops,
swaptions,dbl_bfly_x_noci_augmclb_hops,
swaptions,ft_x_noci_augmclb_hops,
swaptions,kite_large_noci_augmclb_hops,
swaptions,kite_medium_noci_augmclb_hops,
swaptions,kite_small_noci_augmclb_hops,
swaptions,lpbt_m_latop_noci_augmclb_hops,
swaptions,lpbt_s_latop_noci_augmclb_hops,
swaptions,lpbt_s_power_noci_augmclb_hops,
swaptions,ns_l_bwop_noci_augmclb_hops,
swaptions,ns_l_scop_noci_augmclb_hops,
swaptions,ns_m_latop_noci_augmclb_hops,
swaptions,ns_s_bwop_noci_augmclb_hops,
swaptions,ns_s_scop_noci_augmclb_hops,
fluidanimate,ns_l_latop_noci_augmclb_hops,
fluidanimate,ns_s_latop_noci_augmclb_hops,
fluidanimate,dbl_bfly_x_noci_augmclb_hops,
fluidanimate,mesh_noci_naive_hops,
fluidanimate,ns_m_scop_noci_augmclb_hops,
fluidanimate,butter_donut_x_noci_augmclb_hops,
fluidanimate,ns_m_bwop_noci_augmclb_hops,
fluidanimate,ft_x_noci_augmclb_hops,
fluidanimate,kite_large_noci_augmclb_hops,
fluidanimate,kite_medium_noci_augmclb_hops,
fluidanimate,kite_small_noci_augmclb_hops,
fluidanimate,lpbt_m_latop_noci_augmclb_hops,
fluidanimate,lpbt_s_latop_noci_augmclb_hops,
fluidanimate,lpbt_s_power_noci_augmclb_hops,
fluidanimate,ns_l_bwop_noci_augmclb_hops,
fluidanimate,ns_l_scop_noci_augmclb_hops,
fluidanimate,ns_m_latop_noci_augmclb_hops,
fluidanimate,ns_s_bwop_noci_augmclb_hops,
fluidanimate,ns_s_scop_noci_augmclb_hops,
facesim,ns_l_latop_noci_augmclb_hops,
facesim,ns_m_bwop_noci_augmclb_hops,
facesim,ns_m_scop_noci_augmclb_hops,
facesim,ns_s_latop_noci_augmclb_hops,
facesim,mesh_noci_naive_hops,
facesim,butter_donut_x_noci_augmclb_hops,
facesim,dbl_bfly_x_noci_augmclb_hops,
facesim,ft_x_noci_augmclb_hops,
facesim,lpbt_m_latop_noci_augmclb_hops,
facesim,kite_medium_noci_augmclb_hops,
facesim,lpbt_s_latop_noci_augmclb_hops,
facesim,kite_small_noci_augmclb_hops,
facesim,kite_large_noci_augmclb_hops,
facesim,lpbt_s_power_noci_augmclb_hops,
facesim,ns_l_bwop_noci_augmclb_hops,
facesim,ns_l_scop_noci_augmclb_hops,
facesim,ns_m_latop_noci_augmclb_hops,
facesim,ns_s_bwop_noci_augmclb_hops,
facesim,ns_s_scop_noci_augmclb_hops,
raytrace,ns_l_latop_noci_augmclb_hops,
raytrace,ns_m_bwop_noci_augmclb_hops,
raytrace,ns_m_scop_noci_augmclb_hops,
raytrace,ns_s_latop_noci_augmclb_hops,
raytrace,mesh_noci_naive_hops,
raytrace,butter_donut_x_noci_augmclb_hops,
raytrace,dbl_bfly_x_noci_augmclb_hops,
raytrace,ft_x_noci_augmclb_hops,
raytrace,lpbt_s_latop_noci_augmclb_hops,
raytrace,kite_small_noci_augmclb_hops,
raytrace,lpbt_m_latop_noci_augmclb_hops,
raytrace,kite_large_noci_augmclb_hops,
raytrace,kite_medium_noci_augmclb_hops,
raytrace,ns_l_bwop_noci_augmclb_hops,
raytrace,ns_l_scop_noci_augmclb_hops,
raytrace,lpbt_s_power_noci_augmclb_hops,
raytrace,ns_s_scop_noci_augmclb_hops,
raytrace,ns_m_latop_noci_augmclb_hops,
raytrace,ns_s_bwop_noci_augmclb_hops,
ferret,ns_l_latop_noci_augmclb_hops,,31870591000.0,137332.0,25267.089591,505769631.0,63731818.0
ferret,ns_m_bwop_noci_augmclb_hops,,37635064000.0,150750.0,25960.70875,604673613.0,57238862.0
ferret,ns_m_scop_noci_augmclb_hops,,44551727500.0,166674.0,24826.773954,795213839.0,71043610.0
ferret,ns_l_scop_noci_augmclb_hops,,30783150000.0,135107.0,25964.163368,498391129.0,61566296.0
ferret,ns_m_latop_noci_augmclb_hops,,44474362000.0,172567.0,25390.524382,728058975.0,70815916.0
