bench,config,description,simTicks,numCycles,average_packet_latency,cumulativeCycles,maxCycles
blackscholes,mesh_noci_cload_picky_hops,,375781000.0,359520.0,12638.64702,15290137.0,2019869.0
blackscholes,ns_s_latop_noci_cload_picky_hops,,329998000.0,304290.0,8791.382973,13045348.0,2019869.0
blackscholes,ns_s_bwop_noci_cload_picky_hops,,332420000.0,312476.0,8831.905582,11832410.0,2019869.0
blackscholes,kite_small_noci_cload_picky_hops,,329880500.0,303529.0,8844.670351,13041080.0,2019869.0
canneal,ns_s_bwop_noci_cload_picky_hops,
canneal,kite_small_noci_cload_picky_hops,
canneal,mesh_noci_cload_picky_hops,
canneal,ns_s_latop_noci_cload_picky_hops,
bodytrack,mesh_noci_cload_picky_hops,
bodytrack,kite_small_noci_cload_picky_hops,,440888500.0,22369.0,9161.763628,38076726.0,881774.0
bodytrack,ns_s_latop_noci_cload_picky_hops,,435625500.0,22668.0,9048.163894,37118531.0,871248.0
bodytrack,ns_s_bwop_noci_cload_picky_hops,,440032500.0,22728.0,9025.6365,28476799.0,880062.0
freqmine,ns_s_bwop_noci_cload_picky_hops,,494569000.0,14283.0,8965.174988,4372016.0,989136.0
freqmine,ns_s_latop_noci_cload_picky_hops,,496108000.0,14326.0,8894.119167,4390088.0,992214.0
freqmine,kite_small_noci_cload_picky_hops,,493702000.0,14297.0,8986.333168,4363061.0,987402.0
freqmine,mesh_noci_cload_picky_hops,,519114000.0,18822.0,12672.64641,4672916.0,1038226.0
ferret,ns_s_bwop_noci_cload_picky_hops,,1762629500.0,17963.0,9191.16353,20080757.0,3504284.0
ferret,ns_s_latop_noci_cload_picky_hops,,1670643500.0,17681.0,9138.415541,19224257.0,3320312.0
ferret,kite_small_noci_cload_picky_hops,,1672013500.0,17741.0,9162.257501,18989908.0,3323052.0
ferret,mesh_noci_cload_picky_hops,,1559059500.0,21424.0,13199.49979,18378013.0,3097144.0
