bench,config,description,simTicks,numCycles,average_packet_latency,cumulativeCycles,maxCycles
bodytrack,dbl_bfly_x_noci_cload_picky_hops,,14217707500.0,64155.0,10681.382378,671954853.0,28435413.0
bodytrack,ft_x_noci_cload_picky_hops,,14245495500.0,65667.0,10865.439873,673125582.0,28490989.0
bodytrack,mesh_noci_cload_picky_hops,,15344502500.0,77150.0,12548.250454,733186469.0,30689003.0
bodytrack,kite_large_noci_cload_picky_hops,,13863542500.0,64851.0,10269.263888,652764130.0,27727083.0
bodytrack,lpbt_20r_5p_15ll_total_hops_runsol_noci_cload_picky_hops,,13699106500.0,62573.0,10082.054322,644393317.0,27398211.0
bodytrack,lpbt_20r_5p_15ll_power_runsol_noci_cload_picky_hops,,13676985000.0,61894.0,9842.862011,643438459.0,27353968.0
bodytrack,ns_s_latop_noci_cload_picky_hops,,13391283000.0,58504.0,9548.710699,628551281.0,26782564.0
bodytrack,ns_s_bwop_noci_cload_picky_hops,,13343093500.0,59369.0,9594.789541,625893714.0,26686185.0
bodytrack,ns_m_latop_noci_cload_picky_hops,,13853941000.0,63029.0,10419.855784,652718349.0,27707880.0
bodytrack,lpbt_20r_5p_2ll_total_hops_runsol_noci_cload_picky_hops,,14188777000.0,67052.0,10744.870148,669997953.0,28377552.0
bodytrack,cmesh_x_noci_cload_picky_hops,,13816963000.0,64309.0,10205.416159,650791385.0,27633924.0
bodytrack,kite_medium_noci_cload_picky_hops,,14522440000.0,62992.0,10789.393697,689143431.0,29044878.0
bodytrack,ns_m_bwop_noci_cload_picky_hops,,13989900000.0,63909.0,10396.031987,659597730.0,27979798.0
bodytrack,kite_small_noci_cload_picky_hops,,13449163500.0,57913.0,9662.188549,633064532.0,26898325.0
bodytrack,ns_l_latop_noci_cload_picky_hops,,13573676500.0,57114.0,9899.297639,637418041.0,27147351.0
bodytrack,ns_l_bwop_noci_cload_picky_hops,,13554948000.0,57736.0,9907.387328,636135910.0,27109894.0
bodytrack,butter_donut_x_noci_cload_picky_hops,,13464358500.0,59665.0,10396.500177,631465012.0,26928715.0
streamcluster,mesh_noci_cload_picky_hops,,63520002500.0,74480775.0,12557.218923,4148209227.0,90201271.0
streamcluster,cmesh_x_noci_cload_picky_hops,,49814466000.0,59142582.0,10190.55119,3147214558.0,83696348.0
streamcluster,kite_small_noci_cload_picky_hops,,54650471000.0,52444804.0,9221.799131,3236086714.0,82327941.0
streamcluster,ns_s_latop_noci_cload_picky_hops,,47211673000.0,53495612.0,9217.679631,3132152108.0,85981887.0
streamcluster,kite_medium_noci_cload_picky_hops,,58776364000.0,73662338.0,10214.909418,3992315359.0,90005171.0
streamcluster,ns_s_bwop_noci_cload_picky_hops,,50234548500.0,59728215.0,9222.50231,3150171085.0,81915006.0
streamcluster,butter_donut_x_noci_cload_picky_hops,,58475035000.0,42836058.0,9791.624283,3608777820.0,87323952.0
streamcluster,dbl_bfly_x_noci_cload_picky_hops,,57116634500.0,79719179.0,10188.678357,3720799831.0,86576103.0
streamcluster,ft_x_noci_cload_picky_hops,,57653237500.0,55021144.0,10306.081417,3885444401.0,88607490.0
streamcluster,ns_m_latop_noci_cload_picky_hops,,56832547500.0,63988102.0,9835.766084,3641997935.0,86284775.0
streamcluster,ns_l_latop_noci_cload_picky_hops,,48076397500.0,32382955.0,9251.521746,2878541277.0,83920705.0
streamcluster,ns_m_bwop_noci_cload_picky_hops,,52250682500.0,39376192.0,9844.140814,3298319167.0,88534024.0
streamcluster,lpbt_20r_5p_15ll_total_hops_runsol_noci_cload_picky_hops,
streamcluster,lpbt_20r_5p_15ll_power_runsol_noci_cload_picky_hops,,47983164500.0,48048723.0,9674.299978,3136581971.0,86340592.0
streamcluster,ns_l_bwop_noci_cload_picky_hops,,48427799000.0,56063401.0,9306.02503,3008347713.0,90346496.0
streamcluster,kite_large_noci_cload_picky_hops,,58305228000.0,75146130.0,9685.722736,3569094298.0,83216920.0
streamcluster,lpbt_20r_5p_2ll_total_hops_runsol_noci_cload_picky_hops,,58762481000.0,73960149.0,10277.798346,3945193518.0,85671065.0
canneal,ft_x_noci_cload_picky_hops,,7207827000.0,42857.0,10418.959415,293524637.0,14415651.0
canneal,mesh_noci_cload_picky_hops,,7552948500.0,47973.0,12489.636018,305324036.0,15105894.0
canneal,cmesh_x_noci_cload_picky_hops,,6904329000.0,42042.0,9904.084536,279904296.0,13808655.0
canneal,lpbt_20r_5p_2ll_total_hops_runsol_noci_cload_picky_hops,,7078920500.0,43129.0,10426.942888,287399015.0,14157838.0
canneal,lpbt_20r_5p_15ll_total_hops_runsol_noci_cload_picky_hops,,6899930500.0,41561.0,9691.884952,280872103.0,13799858.0
canneal,kite_small_noci_cload_picky_hops,,6787924000.0,36786.0,9273.291245,275672991.0,13575845.0
canneal,kite_medium_noci_cload_picky_hops,,7211703500.0,42234.0,10344.032532,293915926.0,14423404.0
canneal,ns_s_latop_noci_cload_picky_hops,,6733337000.0,36631.0,9176.638201,273034747.0,13466671.0
canneal,lpbt_20r_5p_15ll_power_runsol_noci_cload_picky_hops,,6881642500.0,40003.0,9513.430439,279862810.0,13763282.0
canneal,butter_donut_x_noci_cload_picky_hops,,7067274500.0,41779.0,9875.191462,287354394.0,14134546.0
canneal,dbl_bfly_x_noci_cload_picky_hops,,7246333000.0,41947.0,10160.429013,294839498.0,14492663.0
canneal,ns_l_latop_noci_cload_picky_hops,,6891245000.0,40786.0,9428.549822,279994598.0,13782487.0
canneal,ns_l_bwop_noci_cload_picky_hops,,6899799000.0,40652.0,9459.747442,280524024.0,13799595.0
canneal,ns_s_bwop_noci_cload_picky_hops,,6761696000.0,37003.0,9222.72795,274668371.0,13523389.0
canneal,kite_large_noci_cload_picky_hops,,6998484000.0,41665.0,9810.171557,284912183.0,13996965.0
canneal,ns_m_latop_noci_cload_picky_hops,,6981687000.0,41711.0,10039.615082,283671134.0,13963371.0
canneal,ns_m_bwop_noci_cload_picky_hops,,7005315000.0,41788.0,10016.415272,284836494.0,14010627.0
vips,ns_l_latop_noci_cload_picky_hops,
vips,ns_l_bwop_noci_cload_picky_hops,
vips,kite_large_noci_cload_picky_hops,
vips,ns_s_bwop_noci_cload_picky_hops,
vips,ns_m_latop_noci_cload_picky_hops,
vips,ns_m_bwop_noci_cload_picky_hops,
vips,ns_s_latop_noci_cload_picky_hops,
vips,kite_medium_noci_cload_picky_hops,
vips,kite_small_noci_cload_picky_hops,
vips,cmesh_x_noci_cload_picky_hops,
vips,mesh_noci_cload_picky_hops,
vips,ft_x_noci_cload_picky_hops,
vips,dbl_bfly_x_noci_cload_picky_hops,
vips,butter_donut_x_noci_cload_picky_hops,
vips,lpbt_20r_5p_15ll_power_runsol_noci_cload_picky_hops,
vips,lpbt_20r_5p_15ll_total_hops_runsol_noci_cload_picky_hops,
vips,lpbt_20r_5p_2ll_total_hops_runsol_noci_cload_picky_hops,
